Title,URL,Description,Level,Status,Review,Tags,Slugs
Introduction to Social Psychology,https://www.edx.org/course/introduction-to-social-psychology,Learn why people think and behave the way they do in social settings.,Beginner,Paid,,"Social Psychology, Psychology, Social Behavior, Social Influence, Social Cognition, Attitudes, Prejudice, Stereotypes, Interpersonal Relationships, Group Dynamics, Social Identity, Social Norms",introduction to social psychology social psychology psychology social behavior social influence social cognition attitudes prejudice stereotypes interpersonal relationships group dynamics social identity social norms beginner
Artificial Intelligence (AI),https://www.edx.org/course/artificial-intelligence-ai,"Learn the fundamentals of Artificial Intelligence (AI), and apply them. Design intelligent agents to solve real-world problems including, search, games, machine learning, logic, and constraint satisfaction problems.",Advanced,Paid,,"Artificial Intelligence, Machine Learning, Deep Learning, Neural Networks, Computer Vision, Natural Language Processing, Reinforcement Learning, Data Science, Big Data, Cloud Computing, Robotics, Automation, Optimization, Prediction, Analytics",artificial intelligence (ai) artificial intelligence machine learning deep learning neural networks computer vision natural language processing reinforcement learning data science big data cloud computing robotics automation optimization prediction analytics advanced
American Government: Constitutional Foundations,https://www.edx.org/course/american-government-constitutional-foundations,Learn how early American politics informed the U.S. Constitution and why its promise of liberty and equality has yet to be fully realized.,Beginner,Paid,,American Government Constitutional Law Constitutional History Constitutional Interpretation Federalism Judicial Review Separation of Powers Legislative Process Executive Branch Judicial Branch,american government constitutional foundations american government constitutional law constitutional history constitutional interpretation federalism judicial review separation of powers legislative process executive branch judicial branch beginner
Japanese Books: From Manuscript to Print,https://www.edx.org/course/japanese-books-from-manuscript-to-print,"This course expands the definition of the “book” to include scrolls and albums, focusing on the reading experience of a variety of formats in Japan. You will begin by examining rare and beautifully preserved manuscripts in the Harvard Art Museums in an introduction exploring the material properties of Japanese books and scrolls, binding techniques, and important terminology. An examination of the illustrated scroll comes next, through a unit on the short story and visual storytelling in premodern Japan. The course concludes with The Tale of Genji , an overview of how this celebrated epic from the eleventh century was read and illustrated in every conceivable format, from scroll, to album, to printed book, into the modern era. ",Beginner,Paid,,Japanese Literature Japanese History Manuscript Studies Printing History East Asian Studies Book History Calligraphy Japanese Art Cultural History Medieval Japan Edo Period Japan Meiji Period Japan,japanese books from manuscript to print japanese literature japanese history manuscript studies printing history east asian studies book history calligraphy japanese art cultural history medieval japan edo period japan meiji period japan beginner
Foundations of Modern Finance  I,https://www.edx.org/course/foundations-of-modern-finance-i,A mathematically rigorous framework to understand financial markets delivered with data-driven insights from MIT professors.,Advanced,Paid,,"Finance Basics, Financial Markets, Investment Analysis, Financial Management, Corporate Finance, Valuation and Financial Modeling, Risk Management, Derivatives, Financial Institutions, Quantitative Finance, Economic Analysis, Capital Budgeting, Financial Planning, Portfolio Management, Behavioral Finance",foundations of modern finance  i finance basics financial markets investment analysis financial management corporate finance valuation and financial modeling risk management derivatives financial institutions quantitative finance economic analysis capital budgeting financial planning portfolio management behavioral finance advanced
Operations Management,https://www.edx.org/course/operations-management,This course is part of a MicroMasters® Program,Intermediate,Paid,,"Business Process Management, Supply Chain Management, Lean Manufacturing, Six Sigma, Quality Control, Project Management, Scheduling, Forecasting, Inventory Management, Customer Relationship Management, Enterprise Resource Planning, Decision Making, Operations Analysis, Operations Research, Simulation Modeling",operations management business process management supply chain management lean manufacturing six sigma quality control project management scheduling forecasting inventory management customer relationship management enterprise resource planning decision making operations analysis operations research simulation modeling intermediate
Marketing Management,https://www.edx.org/course/marketing-management,"Learn how to effectively apply marketing management theories and practices, including the marketing mix, through real-world business scenarios.",Intermediate,Paid,,Marketing Management  Marketing Strategy Marketing Analytics Consumer Behavior Customer Relationship Management (CRM) Digital Marketing Social Media Marketing Email Marketing Content Marketing Search Engine Optimization (SEO) Pay-Per-Click (PPC) Advertising Marketing Research Marketing Communications Brand Management Product Management Pricing Strategy Distribution Channels Global Marketing Corporate Social Responsibility (CSR) Sustainability in Marketing,marketing management marketing management  marketing strategy marketing analytics consumer behavior customer relationship management (crm) digital marketing social media marketing email marketing content marketing search engine optimization (seo) pay-per-click (ppc) advertising marketing research marketing communications brand management product management pricing strategy distribution channels global marketing corporate social responsibility (csr) sustainability in marketing intermediate
Introduction to Marketing,https://www.edx.org/course/introduction-to-marketing,"Learn the fundamentals to marketing, including strategies and tools used across industries.",Beginner,Paid,,"Marketing Fundamentals, Marketing Management, Consumer Behavior, Market Research, Product Development, Pricing Strategy, Promotion Management, Distribution Channels, Digital Marketing, Social Media Marketing, Email Marketing, Content Marketing, Search Engine Optimization (SEO), Pay-Per-Click (PPC) Advertising, Brand Management, Marketing Analytics",introduction to marketing marketing fundamentals marketing management consumer behavior market research product development pricing strategy promotion management distribution channels digital marketing social media marketing email marketing content marketing search engine optimization (seo) pay-per-click (ppc) advertising brand management marketing analytics beginner
Programming Basics,https://www.edx.org/course/programming-basics,Learn basic computer programming skills and master the art of writing C/C++ programs to solve real world problems.,Beginner,Paid,,Programming Programming Fundamentals Computer Science Algorithm Data Structures Variables Control Flow Functions Iteration Recursion,programming basics programming programming fundamentals computer science algorithm data structures variables control flow functions iteration recursion beginner
Probability and Statistics in Data Science using Python,https://www.edx.org/course/probability-and-statistics-in-data-science-using-p,"Using Python, learn statistical and probabilistic approaches to understand and gain insights from data.",Advanced,Paid,,"Data Science, Probability, Statistics, Python, Machine Learning, Data Analysis, Data Visualization, Machine Learning Algorithms, Supervised Learning, Unsupervised Learning, Natural Language Processing, Computer Vision, Time Series Analysis, Predictive Analytics",probability and statistics in data science using python data science probability statistics python machine learning data analysis data visualization machine learning algorithms supervised learning unsupervised learning natural language processing computer vision time series analysis predictive analytics advanced
HTML5 Coding Essentials and Best Practices,https://www.edx.org/course/html5-coding-essentials-and-best-practices,Learn how to write Web pages and Web sites by mastering HTML5 coding techniques and best practices.,Intermediate,Paid,,"HTML5, Web Development, Front End Development, Best Practices, Responsive Design, Semantic HTML, CSS3, JavaScript, UI/UX Design, Web Design",html5 coding essentials and best practices html5 web development front end development best practices responsive design semantic html css3 javascript ui/ux design web design intermediate
"Algorithms: Design and Analysis, Part 1",https://www.edx.org/course/algorithms-design-and-analysis,"Welcome to the self paced course, Algorithms: Design and Analysis! Algorithms are the heart of computer science, and the subject has countless practical applications as well as intellectual depth. This specialization is an introduction to algorithms for learners with at least a little programming experience.",Intermediate,Paid,,"Algorithms, Data Structures, Computational Complexity, Algorithm Design, Algorithm Analysis, Dynamic Programming, Graph Algorithms, Greedy Algorithms, Divide and Conquer, Sorting Algorithms, Searching Algorithms",algorithms design and analysis part 1 algorithms data structures computational complexity algorithm design algorithm analysis dynamic programming graph algorithms greedy algorithms divide and conquer sorting algorithms searching algorithms intermediate
Upper-Intermediate English: Business and Technology,https://www.edx.org/course/upper-intermediate-english-technology-today,Take your English language skills to the next level.We will discuss technological innovations as you enhance your English vocabulary and grammar and learn how to write a business plan.,Intermediate,Paid,,"Business English, English for Technology Professionals, Upper-Intermediate English, Business Communication, Business Writing, Technical English, Technology English, English for Specific Purposes, English as a Foreign Language, International Business English, Cross-Cultural Communication, Presentation Skills, Negotiation Skills, Corporate Etiquette, Globalization, International Business Law, Business Ethics",upper-intermediate english business and technology business english english for technology professionals upper-intermediate english business communication business writing technical english technology english english for specific purposes english as a foreign language international business english cross-cultural communication presentation skills negotiation skills corporate etiquette globalization international business law business ethics intermediate
Shakespeare's Hamlet: The Ghost,https://www.edx.org/course/shakespeares-hamlet-the-ghost,Explore the haunting figure at the heart of one of William Shakespeare’s most famous plays.,Beginner,Paid,,"Shakespeare, Hamlet, Elizabethan Literature, Renaissance Drama, Tragedy, Character Study, Literary Analysis, Theme Analysis, Symbolism, Existentialism",shakespeare's hamlet the ghost shakespeare hamlet elizabethan literature renaissance drama tragedy character study literary analysis theme analysis symbolism existentialism beginner
Introduction to Aerospace Structures and Materials,https://www.edx.org/course/introduction-to-aerospace-structures-and-materials,Explore the structural and material design of aircraft and spacecraft from the viewpoint of an aerospace engineer.,Beginner,Paid,,"Aerospace Engineering, Aerospace Structures, Aerospace Materials, Composite Materials, Metal Matrix Composites, Ceramic Matrix Composites, Polymer Matrix Composites, Structural Analysis, Finite Element Analysis, Computational Mechanics, Failure Analysis, Fracture Mechanics, Fatigue Analysis, Design of Aerospace Structures, Aerospace Materials Testing, Aerospace Materials Characterization, Aerospace Materials Processing, Aerospace Materials",introduction to aerospace structures and materials aerospace engineering aerospace structures aerospace materials composite materials metal matrix composites ceramic matrix composites polymer matrix composites structural analysis finite element analysis computational mechanics failure analysis fracture mechanics fatigue analysis design of aerospace structures aerospace materials testing aerospace materials characterization aerospace materials processing aerospace materials beginner
Visualizing Data with Python,https://www.edx.org/course/visualizing-data-with-python,"Data visualization is the graphical representation of data in order to interactively and efficiently convey insights to clients, customers, and stakeholders in general.",Intermediate,Paid,,Data Visualization Python Data Science Data Analysis Data Wrangling Matplotlib Seaborn Plotly Tableau Power BI,visualizing data with python data visualization python data science data analysis data wrangling matplotlib seaborn plotly tableau power bi intermediate
Success: Practical Thinking Skills,https://www.edx.org/course/practical-thinking-skills-for-a-successful-life-2,"This award-winning, practical course helps you succeed in work and life. It empowers you with the positive values for a resilient life and equips you with powerful problem-solving skills, demonstrated with the success stories and case studies on how to excel in a job interview and study in higher education. The current version (2.1) contains new materials that show how people/businesses may adopt the creative thinking skills in addressing the new world challenges brought on by COVID-19.",Beginner,Paid,,"Thinking Skills, Success Habits, Practical Problem Solving, Decision Making, Goal Setting, Self-Discipline, Time Management, Personal Effectiveness, Stress Management, Communication Skills",success practical thinking skills thinking skills success habits practical problem solving decision making goal setting self-discipline time management personal effectiveness stress management communication skills beginner
English for Doing Business in Asia – Speaking,https://www.edx.org/course/english-for-doing-business-in-asia-speaking,Introducing strategies for developing your spoken English communication skills in the context of doing business in Asia.,Beginner,Paid,,Business Communication Cross-cultural Communication Asia-Pacific Business English Language Learning Business English Intercultural Communication Negotiation Skills Presentation Skills Public Speaking Business Etiquette,english for doing business in asia – speaking business communication cross-cultural communication asia-pacific business english language learning business english intercultural communication negotiation skills presentation skills public speaking business etiquette beginner
Nutrition and Health: Macronutrients and Overnutrition,https://www.edx.org/course/nutrition-and-health-macronutrients-and-overnutrit,Learn the fundamentals of nutrition and its impact on human health.,Beginner,Paid,,"Nutrition, Health, Macronutrients, Overnutrition, Diet, Food, Obesity, Weight loss, Health management, Public health, Nutrition counseling, Food science, Metabolism, Biochemistry",nutrition and health macronutrients and overnutrition nutrition health macronutrients overnutrition diet food obesity weight loss health management public health nutrition counseling food science metabolism biochemistry beginner
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",https://www.edx.org/course/contemporary-china-the-peoples-republic-taiwan-and,Use the case study method to study China from the rise of Deng Xiaoping to the present.,Beginner,Paid,,Contemporary China People's Republic of China Taiwan Hong Kong Chinese Politics Chinese Society Chinese Economy Sino-US Relations China-Asia Relations Chinese History Chinese Revolution Mao Zedong Deng Xiaoping Xi Jinping Cultural Revolution Great Leap ForwardRegional  East Asia Southeast Asia Pacific Rim Global Affairs Human Rights in China Economic Reform in China China's Rise to Power Chinese Nationalism China's Environmental Challenges China's Foreign PolicyComparative  Comparative Politics Comparative Economics Comparative International RelationsDisciplinary  Political Science International Relations History Economics Sociology Anthropology Case Studies Historical Analysis Comparative Research Fieldwork Globalization Nationalism Communism Democracy Authoritarianism Trade Diplomacy Geopolitics,contemporary china the people's republic taiwan and hong kong contemporary china people's republic of china taiwan hong kong chinese politics chinese society chinese economy sino-us relations china-asia relations chinese history chinese revolution mao zedong deng xiaoping xi jinping cultural revolution great leap forwardregional  east asia southeast asia pacific rim global affairs human rights in china economic reform in china china's rise to power chinese nationalism china's environmental challenges china's foreign policycomparative  comparative politics comparative economics comparative international relationsdisciplinary  political science international relations history economics sociology anthropology case studies historical analysis comparative research fieldwork globalization nationalism communism democracy authoritarianism trade diplomacy geopolitics beginner
Introduction to Clinical Psychology,https://www.edx.org/course/introduction-to-clinical-psychology,"Learn about the principles underlying psychological therapy and the features and treatment of common mental disorders, including anxiety, depression and schizophrenia.",Beginner,Paid,,"Clinical Psychology, Mental Health, Psychopathology, Diagnosis, Treatment, Psychotherapy, Counseling, Case Management, Research, Ethical Issues, Diversity, Culture, Psychopharmacology, Assessment, Intervention, Prevention, Health Psychology, Neuropsychology, Child Psychology, Adult Psychology, Geropsychology, Forensic Psychology, Sports Psychology, School Psychology",introduction to clinical psychology clinical psychology mental health psychopathology diagnosis treatment psychotherapy counseling case management research ethical issues diversity culture psychopharmacology assessment intervention prevention health psychology neuropsychology child psychology adult psychology geropsychology forensic psychology sports psychology school psychology beginner
Modern Masterpieces of World Literature,https://www.edx.org/course/modern-masterpieces-of-world-literature,Examine how great modern writers capture the intricacies of our globalized world and how their works circulate within that world to find their own audiences.,Beginner,Paid,,"World Literature, Masterpieces, Modern Literature, Literary Analysis, Critical Theory, Comparative Literature, Canon Formation, Cultural Studies, Intellectual History, Globalization, Postcolonial Literature, Feminist Literature, Postmodern Literature, Multicultural Literature, Translation Studies",modern masterpieces of world literature world literature masterpieces modern literature literary analysis critical theory comparative literature canon formation cultural studies intellectual history globalization postcolonial literature feminist literature postmodern literature multicultural literature translation studies beginner
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",https://www.edx.org/course/citizen-politics-in-america-public-opinion-electio,Learn about the forces in American politics that seek to influence the electorate and shift the political landscape.,Beginner,Paid,,", Public Opinion, Elections, Interest Groups, Media, American PoliticsSubfields, Political Behavior, Political Psychology, Political Institutions, Political Communication, Media StudiesMethods, Survey Research, Experimental Methods, Observational Methods, Qualitative Research, Voting Behavior, Campaign Finance, Interest Group Lobbying, News Media Effects, Public Policy, Political Polarization, Sociology, Political Science, Communication Studies, History",citizen politics in america public opinion elections interest groups and the media  public opinion elections interest groups media american politicssubfields political behavior political psychology political institutions political communication media studiesmethods survey research experimental methods observational methods qualitative research voting behavior campaign finance interest group lobbying news media effects public policy political polarization sociology political science communication studies history beginner
Applied Scrum for Agile Project Management,https://www.edx.org/course/usmx-applied-scrum-for-project-management-2,"Learn the project management processes, roles, mechanics, and philosophies behind Scrum, the simplest and most pure approach to managing work at the team level.",Advanced,Paid,,"Agile Project Management, Scrum Framework, Agile Development, Project Management, Scrum Methodology, Agile Scrum, Software Development, Project Lifecycle, Sprint Planning, Scrum Teams",applied scrum for agile project management agile project management scrum framework agile development project management scrum methodology agile scrum software development project lifecycle sprint planning scrum teams advanced
Corporate Finance,https://www.edx.org/course/corporate-finance-2,This course is part of a MicroMasters® Program,Intermediate,Paid,,"Corporate Finance, Financial Management, Capital Budgeting, Capital Structure, Cost of Capital, Working Capital Management, Dividend Policy, Mergers and Acquisitions, Financial Modeling, Investment Banking, Financial Analysis, Security Analysis, Portfolio Management, Risk Management, Financial Planning, Financial Markets, Financial Instruments, Financial Institutions, Financial Regulation, Financial Technology",corporate finance corporate finance financial management capital budgeting capital structure cost of capital working capital management dividend policy mergers and acquisitions financial modeling investment banking financial analysis security analysis portfolio management risk management financial planning financial markets financial instruments financial institutions financial regulation financial technology intermediate
Judaism Through Its Scriptures,https://www.edx.org/course/judaism-through-its-scriptures,Learn about the key beliefs and practices of Judaism through an examination of its sacred texts and their interpretation.,Beginner,Paid,,"Jewish history, Jewish culture, Hebrew Bible, Torah, Tanakh, Talmud, Rabbinic literature, Jewish thought, Jewish philosophy, Jewish mysticism, Jewish ethics, Jewish holidays, Jewish festivals, Jewish rituals, Jewish customs, Jewish art, Jewish music, Jewish dance, Jewish theater, Jewish cinema, Jewish literature, Yiddish language, Hebrew language, Jewish community, Jewish diaspora, Jewish identity, Jewish-Christian relations, Jewish-Muslim relations, Jewish-Buddhist relations, Jewish-Hindu relations, Jewish-Sikh relations, Jewish-Bahai relations",judaism through its scriptures jewish history jewish culture hebrew bible torah tanakh talmud rabbinic literature jewish thought jewish philosophy jewish mysticism jewish ethics jewish holidays jewish festivals jewish rituals jewish customs jewish art jewish music jewish dance jewish theater jewish cinema jewish literature yiddish language hebrew language jewish community jewish diaspora jewish identity jewish-christian relations jewish-muslim relations jewish-buddhist relations jewish-hindu relations jewish-sikh relations jewish-bahai relations beginner
CSS Basics,https://www.edx.org/course/css-basics,Learn how to take your Web pages from bland to bold with the power of CSS styling.,Beginner,Paid,,"Web Development, Front-End Development, Cascading Style Sheets (CSS), Web Design, HTML, CSS Selectors, CSS Properties, CSS Layouts, CSS Flexbox, CSS Grid, Bootstrap, Materialize, Tailwind CSS, SASS, LESS, CSS Frameworks",css basics web development front-end development cascading style sheets (css) web design html css selectors css properties css layouts css flexbox css grid bootstrap materialize tailwind css sass less css frameworks beginner
Unlocking Information Security: Part I,https://www.edx.org/course/unlocking-information-security-part-i,Learn how systems are hacked and defended.,Intermediate,Paid,,"Information Security, Cybersecurity, Data Security, Risk Management, Vulnerability Assessment, Penetration Testing, Security Compliance, Incident Response, Threat Intelligence, Cloud Security, Network Security, Endpoint Security, Secure Coding, Security Architecture, Security Operations",unlocking information security part i information security cybersecurity data security risk management vulnerability assessment penetration testing security compliance incident response threat intelligence cloud security network security endpoint security secure coding security architecture security operations intermediate
Becoming an Effective Leader,https://www.edx.org/course/becoming-an-effective-leader,"Develop your leadership skills as you learn the importance of self-efficacy, social capital, and leadership style.",Intermediate,Paid,,Leadership Development Leadership Skills Leadership Theory Management Organizational Behavior Team Building Communication Motivation Influence Decision-Making Conflict Resolution Negotiation Emotional Intelligence Ethics Change Management Strategic Planning Executive Development,becoming an effective leader leadership development leadership skills leadership theory management organizational behavior team building communication motivation influence decision-making conflict resolution negotiation emotional intelligence ethics change management strategic planning executive development intermediate
Digital Branding and Engagement,https://www.edx.org/course/digital-branding-and-engagement,Learn how to increase brand engagement through the creation and distribution of content using an owned digital channel approach.,Intermediate,Paid,,"Digital Marketing, Brand Management, Social Media Marketing, Content Marketing, Influencer Marketing, Search Engine Optimization (SEO), Email Marketing, Customer Relationship Management (CRM), Brand Identity, Brand Strategy, Brand Measurement, Digital Advertising, Public Relations, Reputation Management",digital branding and engagement digital marketing brand management social media marketing content marketing influencer marketing search engine optimization (seo) email marketing customer relationship management (crm) brand identity brand strategy brand measurement digital advertising public relations reputation management intermediate
Introduction to Cybersecurity,https://www.edx.org/course/introduction-to-cybersecurity,"An introduction to cybersecurity, ideal for learners who are curious about the world of Internet security and who want to be literate in the field.",Beginner,Paid,,"Cybersecurity , Information Security , Network Security , Ethical Hacking , Cloud Security , Data Protection , Incident Response , Security Operations , Threat Intelligence , Risk Management , Compliance and Governance , Security Architecture , Threat Modeling , Security Assessment and Testing , Cryptography , Security Analytics , Security Engineering , Cloud Computing , Linux , Python Programming , Algorithms , Computer Programming , Computer Security Incident Management , Databases , Leadership and Management , Network Architecture",introduction to cybersecurity cybersecurity  information security  network security  ethical hacking  cloud security  data protection  incident response  security operations  threat intelligence  risk management  compliance and governance  security architecture  threat modeling  security assessment and testing  cryptography  security analytics  security engineering  cloud computing  linux  python programming  algorithms  computer programming  computer security incident management  databases  leadership and management  network architecture beginner
General Academic English|生活英语进阶,https://www.edx.org/course/general-academic-englishsheng-huo-ying-yu-jin-jie,Do you want to join in academic communication on international conferences and read academic papers? Join us on a journey in academic English!,Beginner,Paid,,English Language Learning Academic English English for Communication English Grammar English Writing English Vocabulary English Pronunciation English Reading Comprehension English Listening Comprehension English for Study Abroad English for Career Advancement,general academic english|生活英语进阶 english language learning academic english english for communication english grammar english writing english vocabulary english pronunciation english reading comprehension english listening comprehension english for study abroad english for career advancement beginner
From Poverty to Prosperity: Understanding Economic Development,https://www.edx.org/course/from-poverty-to-prosperity-understanding-economic,"Learn about the role of government and the key political, social, and economic processes that elevate any society from poverty to prosperity.",Intermediate,Paid,,"Poverty Reduction, Economic Development, Economic Growth, Development Economics, Poverty Alleviation, Sustainable Development, Microfinance, Social Entrepreneurship, Global Development, Policy Analysis",from poverty to prosperity understanding economic development poverty reduction economic development economic growth development economics poverty alleviation sustainable development microfinance social entrepreneurship global development policy analysis intermediate
Medical Terminology,https://www.edx.org/course/medical-terminology,"Medical terminology is the study of the rules of medical word building. Receive a thorough grounding in basic medical terminology through a study of root words, prefixes and suffixes.",Beginner,Paid,,Medical Terminology Anatomy and Physiology Medical Abbreviations Medical Terminology Healthcare Vocabulary Body Systems Medical Conditions Diagnostic Tests Medical Procedures Medications Healthcare Professionals Medical Ethics Medical Coding Billing and Reimbursement Patient Care Medical Assistants Allied Health Professions Healthcare Education Medical Documentation Medical Records,medical terminology medical terminology anatomy and physiology medical abbreviations medical terminology healthcare vocabulary body systems medical conditions diagnostic tests medical procedures medications healthcare professionals medical ethics medical coding billing and reimbursement patient care medical assistants allied health professions healthcare education medical documentation medical records beginner
Ancient Masterpieces of World Literature,https://www.edx.org/course/ancient-masterpieces-of-world-literature,"Examine how cultures of the ancient world defined themselves through literature and how their vision of literature contributes to our understanding of civilization, culture, and literature today.",Beginner,Paid,,"Ancient Literature, World Literature, Masterpieces of Literature, Classic Literature, Literary Analysis, Literary History, Humanities, Culture, Civilization, Philosophy, History",ancient masterpieces of world literature ancient literature world literature masterpieces of literature classic literature literary analysis literary history humanities culture civilization philosophy history beginner
Shakespeare's The Merchant of Venice: Shylock,https://www.edx.org/course/shakespeares-merchant-of-venice-shylock,An exploration of the magnetic and ambivalent character of Shylock in William Shakespeare’s The Merchant of Venice.,Beginner,Paid,,Shakespeare The Merchant of Venice Literature Drama Elizabethan Era Shylock Venice Anti-Semitism Prejudice Mercy Justice,shakespeare's the merchant of venice shylock shakespeare the merchant of venice literature drama elizabethan era shylock venice anti-semitism prejudice mercy justice beginner
Behavioural Economics in Action,https://www.edx.org/course/behavioural-economics-in-action,"Learn to use principles and methods of behavioural economics to change behaviours, improve welfare and make better products and policy.",Beginner,Paid,,"Behavioral Economics, Decision Making, Human Behavior, Rationality, Cognitive Biases, Heuristics, Nudging, Marketing, Public Policy, Applied Economics",behavioural economics in action behavioral economics decision making human behavior rationality cognitive biases heuristics nudging marketing public policy applied economics beginner
Finance for Everyone: Smart Tools for Decision-Making,https://www.edx.org/course/finance-for-everyone-smart-tools-for-decision-ma-2,In this introduction to finance course from Michigan learn to apply frameworks and smart tools for understanding and making everyday financial decisions.,Beginner,Paid,,"Financial Literacy, Personal Finance, Investment Strategies, Budgeting and Expense Management, Credit Management and Debt Reduction, Financial Planning and Retirement, Decision-Making in Finance, Behavioral Finance, Risk Management in Finance, Financial Markets and Economics, Investment Analysis and Valuation, Portfolio Management, Financial Statement Analysis, Financial Modeling and Forecasting, Financial Technology and Innovation, Financial Regulation and Compliance",finance for everyone smart tools for decision-making financial literacy personal finance investment strategies budgeting and expense management credit management and debt reduction financial planning and retirement decision-making in finance behavioral finance risk management in finance financial markets and economics investment analysis and valuation portfolio management financial statement analysis financial modeling and forecasting financial technology and innovation financial regulation and compliance beginner
Creating Innovative Business Models,https://www.edx.org/course/creating-innovative-business-models,"Build your capabilities to create a value proposition, team strategy, market strategy, and financial strategy to transform your ideas into a startup company or innovative corporate venture",Beginner,Paid,,Business Model Innovation Entrepreneurship Strategy Business Planning Innovation Management New Product Development Value Proposition Customer Development Lean Startup Business Model Canvas,creating innovative business models business model innovation entrepreneurship strategy business planning innovation management new product development value proposition customer development lean startup business model canvas beginner
u.lab: Leading From the Emerging Future,https://www.edx.org/course/ulab-leading-from-the-emerging-future,"An introduction to leading profound social, environmental and personal transformation.",Beginner,Paid,,"Leadership, Systems Thinking, Presencing, Co-Creation, Integral Theory, Organizational Change, Innovation, Sustainability, Complexity, Futures Thinking",u.lab leading from the emerging future leadership systems thinking presencing co-creation integral theory organizational change innovation sustainability complexity futures thinking beginner
Electric Cars: Introduction,https://www.edx.org/course/electric-cars-introduction,"Get a basic understanding of electric cars and learn about leading technologies, development of profitable business models and effective policies.",Intermediate,Paid,,"Electric Vehicles, Electric Car Design, Electric Car Technology, Electric Car History, Electric Car Charging, Electric Car Battery, Electric Car Motor, Electric Car Inverter, Electric Car Safety, Electric Car Maintenance, Electric Car Economics, Electric Car Environmental Impact, Electric Car Policy",electric cars introduction electric vehicles electric car design electric car technology electric car history electric car charging electric car battery electric car motor electric car inverter electric car safety electric car maintenance electric car economics electric car environmental impact electric car policy intermediate
Marketing Analytics,https://www.edx.org/course/marketing-analytics,Develop quantitative models that leverage business data to forecast sales and support important marketing decisions.,Advanced,Paid,,"Data Analysis, Marketing Research, Marketing Strategy, Customer Analytics, Web Analytics, Social Media Analytics, Digital Marketing, Marketing ROI, Predictive Analytics, Big Data Analytics",marketing analytics data analysis marketing research marketing strategy customer analytics web analytics social media analytics digital marketing marketing roi predictive analytics big data analytics advanced
Design Thinking Fundamentals,https://www.edx.org/course/design-thinking-fundamentals,Learn how a user-centered approach and design thinking principles inspire innovative ideas to create desirable solutions.,Intermediate,Paid,,Design Thinking Innovation Problem Solving Creative Thinking User Experience Product Design IDEO Stanford d.school Google Ventures Design Thinking Process,design thinking fundamentals design thinking innovation problem solving creative thinking user experience product design ideo stanford d.school google ventures design thinking process intermediate
Basic Spanish 3: Getting there,https://www.edx.org/course/basic-spanish-3-getting-there,"Beginners course for learners of Spanish that focuses not only on language but also on cultural aspects, specifically designed for English speakers.",Beginner,Paid,,"Spanish language, Beginner Spanish, Intermediate Spanish, Travel Spanish, Basic conversation, Essential vocabulary, Grammar basics, Communication skills, Spanish for travel, Getting around in Spanish",basic spanish 3 getting there spanish language beginner spanish intermediate spanish travel spanish basic conversation essential vocabulary grammar basics communication skills spanish for travel getting around in spanish beginner
Sustainability in Architecture: An Interdisciplinary Introduction,https://www.edx.org/course/sustainability-in-architecture-an-interdisciplinar,This course introduces the basic elements and trendsthat define sustainability practices in Architecture today. Itfollows an interdisciplinary approach that includes performance assessment and urban policies.,Intermediate,Paid,,"Sustainable Architecture, Interdisciplinary Sustainability, Environmental Design, Green Building, LEED Certification, Passive Design, Energy Efficiency, Sustainable Materials, Biophilic Design, Urban Ecology",sustainability in architecture an interdisciplinary introduction sustainable architecture interdisciplinary sustainability environmental design green building leed certification passive design energy efficiency sustainable materials biophilic design urban ecology intermediate
Python Data Structures,https://www.edx.org/course/python-data-structures,"The second course in Python for Everybody explores variables that contain collections of data like string, lists, dictionaries, and tuples. Learning how to store and represent and manipulate data collections while a program is running is an important part of learning how to program.",Beginner,Paid,,"Data Structures, Algorithms, Python Programming, Object-Oriented Programming, Big Data, Machine Learning, Software Development, Computer Science, Data Science, Programming Fundamentals",python data structures data structures algorithms python programming object-oriented programming big data machine learning software development computer science data science programming fundamentals beginner
The Science and Business of Biotechnology,https://www.edx.org/course/the-science-and-business-of-biotechnology,"Explore the latest scientific innovations in biotechnology, and novel business and financing models for commercializing them.",Intermediate,Paid,,Science and Business of Biotechnology  Biotechnology Bioprocess Engineering Biomanufacturing Drug Discovery and Development Healthcare Innovation Medical Device Technology Genomics Proteomics Metabolomics Biomaterials Bioethics Business Strategy Intellectual Property Regulatory Affairs Commercialization Technology Transfer,the science and business of biotechnology science and business of biotechnology  biotechnology bioprocess engineering biomanufacturing drug discovery and development healthcare innovation medical device technology genomics proteomics metabolomics biomaterials bioethics business strategy intellectual property regulatory affairs commercialization technology transfer intermediate
Finance Essentials,https://www.edx.org/course/finance-essentials,Discover how to use fundamental finance tools in both management and MBA learning contexts and understand common financial situations faced in everyday life.,Beginner,Paid,,Corporate Finance Financial Planning Financial Markets Investing Personal Finance Financial Management Financial Analysis Business Valuation Capital Budgeting Cash Flow Analysis Risk Management,finance essentials corporate finance financial planning financial markets investing personal finance financial management financial analysis business valuation capital budgeting cash flow analysis risk management beginner
