Title,URL,Description,Level,Status,Review,Tags,Slugs
Site Planning Online,https://www.edx.org/course/site-planning-online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.",Intermediate,Paid,,Site Planning Land Use Planning Urban Design Zoning Master Planning Landscape Architecture Environmental Planning Sustainable Development Real Estate Development GIS (Geographic Information Systems) Site Analysis Site Design Feasibility Studies Land Development Infrastructure Planning Architecture Urban Planning Civil Engineering Construction Management Property Management,site planning online site planning land use planning urban design zoning master planning landscape architecture environmental planning sustainable development real estate development gis (geographic information systems) site analysis site design feasibility studies land development infrastructure planning architecture urban planning civil engineering construction management property management intermediate
Macroeconometric Forecasting,https://www.edx.org/course/macroeconometric-forecasting-2,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,Intermediate,Paid,,Macroeconometrics Forecasting Economic Modeling Time Series Analysis Econometric Theory Economic Growth Inflation Unemployment Monetary Policy Fiscal Policy International EconomicsTechnical  Regression Analysis Vector Autoregression (VAR) Models Structural Vector Autoregression (SVAR) Models Dynamic Factor Models (DFMs) Bayesian EstimationIndustry- Central Banking Fiscal Planning Economic Consulting Financial Risk Management Machine Learning for Forecasting Big Data Analysis in Economics Policy Analysis Economic Research Quantitative Economics,macroeconometric forecasting macroeconometrics forecasting economic modeling time series analysis econometric theory economic growth inflation unemployment monetary policy fiscal policy international economicstechnical  regression analysis vector autoregression (var) models structural vector autoregression (svar) models dynamic factor models (dfms) bayesian estimationindustry- central banking fiscal planning economic consulting financial risk management machine learning for forecasting big data analysis in economics policy analysis economic research quantitative economics intermediate
Algorithms,https://www.edx.org/course/algorithms-2,Learn how to structure and use algorithms to solve real life problems.,Intermediate,Paid,,"Algorithms, Data Structures, Time Complexity, Space Complexity, Recursion, Divide and Conquer, Greedy Algorithms, Dynamic Programming, Graph Algorithms, String Algorithms",algorithms algorithms data structures time complexity space complexity recursion divide and conquer greedy algorithms dynamic programming graph algorithms string algorithms intermediate
Calculus Applied!,https://www.edx.org/course/calculus-applied,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.",Intermediate,Paid,,"Calculus, Applied Mathematics, Optimization, Differential Equations, Partial Differential Equations, Numerical Analysis, Modeling and Simulation, Data Analysis, Statistics, Machine Learning, Artificial Intelligence, Robotics, Engineering, Physics, Finance, Economics, Biology, Medicine, Healthcare",calculus applied! calculus applied mathematics optimization differential equations partial differential equations numerical analysis modeling and simulation data analysis statistics machine learning artificial intelligence robotics engineering physics finance economics biology medicine healthcare intermediate
Precalculus,https://www.edx.org/course/precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.",Intermediate,Paid,,"Algebra, Trigonometry, Functions, Limits and Continuity, Differential Calculus, Integral Calculus, Exponential and Logarithmic Functions, Conic Sections, Sequences and Series, Mathematical Modeling",precalculus algebra trigonometry functions limits and continuity differential calculus integral calculus exponential and logarithmic functions conic sections sequences and series mathematical modeling intermediate
Business Communications,https://www.edx.org/course/business-communications,Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.,Beginner,Paid,,Business Writing Communication Skills Interpersonal Communication Public Speaking Presentation Skills Email Etiquette Report Writing Business Proposals Cross-Cultural Communication Conflict Resolution Business Meetings Team Communication Employee Relations Organizational Communication,business communications business writing communication skills interpersonal communication public speaking presentation skills email etiquette report writing business proposals cross-cultural communication conflict resolution business meetings team communication employee relations organizational communication beginner
International Women's Health and Human Rights,https://www.edx.org/course/international-womens-health-and-human-rights,"This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.",Beginner,Paid,,Women's Health Human Rights Gender Equality Global Health Reproductive Rights Maternal Health Women and Development Feminism Women's Empowerment International Health Policy,international women's health and human rights women's health human rights gender equality global health reproductive rights maternal health women and development feminism women's empowerment international health policy beginner
Blockchain: Understanding Its Uses and Implications,https://www.edx.org/course/blockchain-understanding-its-uses-and-implications,"Understand exactly what a blockchain is, its impact and potential for change around the world, and analyze use cases in technology, business, and enterprise products and institutions.",Beginner,Paid,,"Blockchain Technology, Cryptocurrencies, Decentralized , Smart Contracts, Distributed Ledger Technology, Bitcoin, Ethereum, Blockchain Development, Blockchain Security, Blockchain Use Cases, Blockchain Economics",blockchain understanding its uses and implications blockchain technology cryptocurrencies decentralized  smart contracts distributed ledger technology bitcoin ethereum blockchain development blockchain security blockchain use cases blockchain economics beginner
Basics of Power BI,https://www.edx.org/course/basics-of-power-bi,"This learning resource will give learners the knowledge and the confidence to use the Power BI tool over other methods of recording, visualising and presenting data such as PowerPoint presentations.",Beginner,Paid,,Data Analytics Business Intelligence Microsoft Power BI Data Visualization Power BI Essentials Data Extraction and Transformation Data Analysis Techniques Reporting and Dashboarding Data Modeling Data Storytelling Power BI Desktop Power BI Service Querying and Data Manipulation Data Integration Performance OptimizationIndustry- Business Intelligence for Finance Business Intelligence for Marketing Business Intelligence for Healthcare Business Intelligence for Retail Business Intelligence for ManufacturingTechnical  DAX (Data Analysis Expressions) M Query Language Power BI Gateway Power BI API Power BI Embedded,basics of power bi data analytics business intelligence microsoft power bi data visualization power bi essentials data extraction and transformation data analysis techniques reporting and dashboarding data modeling data storytelling power bi desktop power bi service querying and data manipulation data integration performance optimizationindustry- business intelligence for finance business intelligence for marketing business intelligence for healthcare business intelligence for retail business intelligence for manufacturingtechnical  dax (data analysis expressions) m query language power bi gateway power bi api power bi embedded beginner
Preparing to Network in English,https://www.edx.org/course/preparing-to-network-in-english,Learn the basics of networking while you grow your social network and professional connections. Practice speaking to improve your English language skills for increased success in job hunting.,Beginner,Paid,,"English as a Second Language (ESL), Business English, Networking Skills, Professional Communication, Intercultural Communication, Cross-Cultural Communication, Global Communication, International Business, Etiquette, Public Speaking",preparing to network in english english as a second language (esl) business english networking skills professional communication intercultural communication cross-cultural communication global communication international business etiquette public speaking beginner
Mandarin Chinese Essentials,https://www.edx.org/course/mandarin-chinese-essentials,"This course is your first crucial step to learning Mandarin Chinese. Learn essential skills for communicating in Chineseincluding tones, pinyin, grammar, characters, and basic structures all within the context of a business environment.",Beginner,Paid,,"Mandarin Chinese, Chinese Language, Mandarin Basics, Chinese Grammar, Chinese Vocabulary, Chinese Pronunciation, Chinese Conversation, Chinese Listening, Chinese Reading, Chinese Writing",mandarin chinese essentials mandarin chinese chinese language mandarin basics chinese grammar chinese vocabulary chinese pronunciation chinese conversation chinese listening chinese reading chinese writing beginner
Human Rights: The Rights of Refugees,https://www.edx.org/course/human-rights-the-rights-of-refugees,Take action for human rights. This course will teach you about the human rights of refugees and empower you to defend them.,Beginner,Paid,,"Human Rights, Refugees, International Law, Migration, Displacement, Asylum, Humanitarianism, Protection, Statelessness, Discrimination, Gender, Children, Minorities, Human Security, Global Governance",human rights the rights of refugees human rights refugees international law migration displacement asylum humanitarianism protection statelessness discrimination gender children minorities human security global governance beginner
What do Architects and Urban Planners do?,https://www.edx.org/course/what-do-architects-and-urban-planners-do,Discover how spatial design professionals make a difference in society,Beginner,Paid,,Architecture Urban Planning Design City Planning Land Use Planning Urban Design Sustainable Development Community Development Zoning Master Planning,what do architects and urban planners do? architecture urban planning design city planning land use planning urban design sustainable development community development zoning master planning beginner
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",https://www.edx.org/course/us-political-institutions-congress-presidency-cour,Examine the inner workings of the three branches of the U.S. Federal Government,Beginner,Paid,,American Government Political Institutions Separation of Powers Checks and Balances FederalismBranches of Government Congress Presidency Courts BureaucracySubfields Constitutional Law Legislative Process Executive Power Judicial Review Administrative LawSpecific Institutions House of Representatives Senate Supreme Court Cabinet Federal AgenciesTheoretical Perspectives Democratic Theory Republicanism Pluralism Elite Theory Social Contract TheoryHistorical Context Founding Fathers Constitution Bill of Rights Civil War Civil Rights MovementContemporary Issues Polarization Gridlock Judicial Activism Bureaucratic Overreach Law Political Science History Sociology,u.s. political institutions congress presidency courts and bureaucracy american government political institutions separation of powers checks and balances federalismbranches of government congress presidency courts bureaucracysubfields constitutional law legislative process executive power judicial review administrative lawspecific institutions house of representatives senate supreme court cabinet federal agenciestheoretical perspectives democratic theory republicanism pluralism elite theory social contract theoryhistorical context founding fathers constitution bill of rights civil war civil rights movementcontemporary issues polarization gridlock judicial activism bureaucratic overreach law political science history sociology beginner
Negotiation Skills and Effective Communication,https://www.edx.org/course/negotiation-skills-and-effective-communication,"It analyzes the “social” perspective of a negotiation and its impact on successful agreements, as well as the risks of ignoring it, or disregarding its applicability.",Intermediate,Paid,,"Negotiation, Effective Communication, Communication Skills, Conflict Resolution, Interpersonal Skills, Persuasion, Influence, Business Communication, Leadership, Management, Interpersonal Relationships, Conflict Management, Teamwork, Collaboration, Active Listening, Presentation Skills",negotiation skills and effective communication negotiation effective communication communication skills conflict resolution interpersonal skills persuasion influence business communication leadership management interpersonal relationships conflict management teamwork collaboration active listening presentation skills intermediate
AP® English Literature & Composition – Part 1: Stories,https://www.edx.org/course/ap-english-literature-composition-part-1-stories-2,Enhance your ability to read and write about great literature in preparation for the AP® English Literature & Composition exam.,Beginner,Paid,,"General, AP English Literature, AP English Composition, Advanced Placement, College Prep, English LiteratureCourse Content, Short Stories, Fiction, Literary Analysis, Theme and Symbolism, Characterization, Point of View, Literary DevicesSkills, Reading Comprehension, Critical Thinking, Writing, Argumentation, Research, College Admissions, SAT/ACT Prep, Standardized Testing, ELA, English Language Arts",ap® english literature  composition – part 1 stories general ap english literature ap english composition advanced placement college prep english literaturecourse content short stories fiction literary analysis theme and symbolism characterization point of view literary devicesskills reading comprehension critical thinking writing argumentation research college admissions sat/act prep standardized testing ela english language arts beginner
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",https://www.edx.org/course/viruses-how-to-beat-them-cells-immunity-vaccines,"Learn how our immune system fights viral disease and make better vaccination decisions with a clearer understanding of Cells, Viruses, and Immunity.",Beginner,Paid,,"Virology, Immunology, Vaccines, Cell Biology, Disease Prevention, Infectious Diseases, Public Health, Immunity, Pathogenesis, Medical Microbiology",viruses  how to beat them cells immunity vaccines virology immunology vaccines cell biology disease prevention infectious diseases public health immunity pathogenesis medical microbiology beginner
Designing and Creating Skirts,https://www.edx.org/course/designing-and-creating-skirts,"Learn the construction and style adaptations of skirts from a design and creation perspective, completing the course with your own designed, and made to measure finished skirt sample.",Beginner,Paid,,"Skirt Design, Skirt Construction, Garment Making, Sewing Techniques, Fashion Design, Clothing Construction, Pattern Making, Fabric Selection, Fit and Alteration, Garment Finishing",designing and creating skirts skirt design skirt construction garment making sewing techniques fashion design clothing construction pattern making fabric selection fit and alteration garment finishing beginner
Computing in Python II: Control Structures,https://www.edx.org/course/computing-in-python-ii-control-structures,"Learn about control structures, one of the most powerful parts of programming. This course covers conditionals, loops, functions, and error handling, specifically in Python but with broader applicability to other languages as well.",Beginner,Paid,,"Python Programming, Control Structures, Programming Fundamentals, Problem Solving, Algorithms, Data Structures, Object-Oriented Programming, Computational Thinking",computing in python ii control structures python programming control structures programming fundamentals problem solving algorithms data structures object-oriented programming computational thinking beginner
Machine Learning Fundamentals,https://www.edx.org/course/machine-learning-fundamentals-2,"Understand machine learning's role in data-driven modeling, prediction, and decision-making.",Advanced,Paid,,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning, Neural Networks, Data Science, Artificial Intelligence, Statistics, Probability, Linear Algebra, Optimization",machine learning fundamentals machine learning supervised learning unsupervised learning deep learning neural networks data science artificial intelligence statistics probability linear algebra optimization advanced
Pre-University Calculus,https://www.edx.org/course/pre-university-calculus-2,Prepare for Beginner Calculus courses.,Beginner,Paid,,Calculus Pre-Calculus Functions Limits Derivatives Integrals Algebraic Functions Exponential and Logarithmic Functions Trigonometric Functions Polar Coordinates Sequences and SeriesMath Skills Algebraic Manipulation Trigonometry Analytic Geometry Vector Calculus Mathematics Physics Engineering Economics Science Technology Engineering Finance College Prep Mathematics Education Advanced Placement SAT/ACT Prep,pre-university calculus calculus pre-calculus functions limits derivatives integrals algebraic functions exponential and logarithmic functions trigonometric functions polar coordinates sequences and seriesmath skills algebraic manipulation trigonometry analytic geometry vector calculus mathematics physics engineering economics science technology engineering finance college prep mathematics education advanced placement sat/act prep beginner
Tsinghua Chinese: Start Talking with 1.3 Billion People,https://www.edx.org/course/tsinghua-chinese-start-talking-with-13-billion-peo,Beginners' Chinese course from China's top university.,Beginner,Paid,,"Mandarin Chinese, Spoken Chinese, Chinese Language, Chinese Conversation, Basic Chinese, Conversational Chinese, Chinese for Beginners, Chinese for Travel, Chinese for Business, Chinese Grammar, Chinese Vocabulary, Chinese Pronunciation, Chinese Culture, Chinese History, Chinese Society, Chinese Economy, Chinese Politics, Chinese Arts, Chinese Literature, Chinese Film, Chinese Music, Chinese Media, Chinese Studies, Chinese Linguistics, Chinese Philology, Chinese Education, Chinese Translation, Chinese Interpretation, Chinese Business, Chinese Investment, Chinese Trade, Chinese Technology, Chinese Innovation, Chinese Entrepreneurship, Chinese Leadership, Chinese Management, Chinese Negotiation, Chinese Marketing, Chinese Sales, Chinese Customer Service, Chinese Human Resources, Chinese Finance, Chinese Banking, Chinese Insurance, Chinese Real Estate, Chinese Healthcare, Chinese Hospital, Chinese Doctor, Chinese Nurse",tsinghua chinese start talking with 1.3 billion people mandarin chinese spoken chinese chinese language chinese conversation basic chinese conversational chinese chinese for beginners chinese for travel chinese for business chinese grammar chinese vocabulary chinese pronunciation chinese culture chinese history chinese society chinese economy chinese politics chinese arts chinese literature chinese film chinese music chinese media chinese studies chinese linguistics chinese philology chinese education chinese translation chinese interpretation chinese business chinese investment chinese trade chinese technology chinese innovation chinese entrepreneurship chinese leadership chinese management chinese negotiation chinese marketing chinese sales chinese customer service chinese human resources chinese finance chinese banking chinese insurance chinese real estate chinese healthcare chinese hospital chinese doctor chinese nurse beginner
Deep Learning with Python and PyTorch,https://www.edx.org/course/deep-learning-with-python-and-pytorch,This course is the second part of a two-part course on how to develop Deep Learning models using Pytorch.,Intermediate,Paid,,"Deep Learning, Machine Learning, Python, PyTorch, Artificial Intelligence, Neural Networks, Computer Vision, Natural Language Processing, Data Analytics, Data Science, Machine Learning Algorithms, Deep Learning Architectures, PyTorch Framework, Deep Learning",deep learning with python and pytorch deep learning machine learning python pytorch artificial intelligence neural networks computer vision natural language processing data analytics data science machine learning algorithms deep learning architectures pytorch framework deep learning intermediate
World of Wine: From Grape to Glass,https://www.edx.org/course/world-of-wine-from-grape-to-glass,"Learn about the principles and practices of how grapes are grown and wine is made. Whether you’re a wine novice or a seasoned oenophile, you’ll learn to confidently describe wine appearance, aroma, flavour and taste.",Beginner,Paid,,Winemaking and Production Viticulture Oenology Fermentation Barrel Aging Wine AnalysisWine Regions and Varieties Old World Wines New World Wines Bordeaux Burgundy Napa Valley Cabernet Sauvignon ChardonnayWine Tasting and Appreciation Sensory Analysis Wine Tasting Techniques Food and Wine Pairing Wine Vintages Wine ClassificationHistory and Culture of Wine Ancient Winemaking Medieval Winemaking Renaissance Winemaking Modern Winemaking Wine in Literature and ArtBusiness and Marketing of Wine Wine Economics Wine Marketing Wine Distribution Wine Tourism Wine Investment,world of wine from grape to glass winemaking and production viticulture oenology fermentation barrel aging wine analysiswine regions and varieties old world wines new world wines bordeaux burgundy napa valley cabernet sauvignon chardonnaywine tasting and appreciation sensory analysis wine tasting techniques food and wine pairing wine vintages wine classificationhistory and culture of wine ancient winemaking medieval winemaking renaissance winemaking modern winemaking wine in literature and artbusiness and marketing of wine wine economics wine marketing wine distribution wine tourism wine investment beginner
Sustainable Cities,https://www.edx.org/course/sustainable-cities-2,"Learn how government, the private sector, and other actors can support sustainable urban development",Intermediate,Paid,,", Urban Planning and Development, Environmental Sustainability, Sustainable Energy and Infrastructure, Climate Change Adaptation and Resilience, Socioeconomic Equity and Inclusivity, Green Architecture and Building, Sustainable Transportation, Water Management, Waste Reduction and Recycling, Urban Agriculture and Food Security, Smart Cities and Digitalization, Green Infrastructure and Landscape Architecture, Climate-Adaptive Urban Design, Circular Economy and Zero Waste, Community Engagement and Citizen Participation, Environmental Science, Urban Geography, Public Policy, Architecture, Engineering, Economics",sustainable cities  urban planning and development environmental sustainability sustainable energy and infrastructure climate change adaptation and resilience socioeconomic equity and inclusivity green architecture and building sustainable transportation water management waste reduction and recycling urban agriculture and food security smart cities and digitalization green infrastructure and landscape architecture climate-adaptive urban design circular economy and zero waste community engagement and citizen participation environmental science urban geography public policy architecture engineering economics intermediate
Introduction to Developmental Psychology,https://www.edx.org/course/introduction-to-developmental-psychology,"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",Beginner,Paid,,"Developmental Psychology, Child Psychology, Adolescent Psychology, Lifespan Development, Cognitive Development, Social Development, Emotional Development, Physical Development, Moral Development, Attachment Theory, Learning Theory, Psychosocial Theory, Cognitive-Behavioral Theory, Human Development",introduction to developmental psychology developmental psychology child psychology adolescent psychology lifespan development cognitive development social development emotional development physical development moral development attachment theory learning theory psychosocial theory cognitive-behavioral theory human development beginner
Creativity & Entrepreneurship,https://www.edx.org/course/creativity-entrepreneurship,"Learn skills and listen to examples from world-renown entrepreneurs and innovators as they discuss the parallels between the creative and entrepreneurial journeys -- and why entrepreneurship, much like music or creativity, is something we all possess.",Beginner,Paid,,Creativity Entrepreneurship Innovation Business Development Problem Solving Risk-TakingProcesses and Methods Ideation and Prototyping Market Validation Business Planning Funding and Investment Business Model Canvas Lean CanvasTools and Technologies Design Thinking Customer Development Agile Methodology Project Management Financial AnalysisIndustries and  Startup Launch Social Entrepreneurship Intrapreneurship Small Business Management Technology Entrepreneurship Marketing Finance Human Resources Communications Engineering,creativity  entrepreneurship creativity entrepreneurship innovation business development problem solving risk-takingprocesses and methods ideation and prototyping market validation business planning funding and investment business model canvas lean canvastools and technologies design thinking customer development agile methodology project management financial analysisindustries and  startup launch social entrepreneurship intrapreneurship small business management technology entrepreneurship marketing finance human resources communications engineering beginner
College Algebra and Problem Solving,https://www.edx.org/course/college-algebra-and-problem-solving,Learn the basics of Algebra while preparing for future courses in Calculus through this credit-eligible college level math course.,Beginner,Paid,,"Algebra, Problem Solving, Polynomials, Rational Expressions, Quadratic Functions, Systems of Equations, Inequalities, Logarithmic Functions, Exponential Functions, Trigonometry, Analytic Geometry, Mathematical Modeling",college algebra and problem solving algebra problem solving polynomials rational expressions quadratic functions systems of equations inequalities logarithmic functions exponential functions trigonometry analytic geometry mathematical modeling beginner
Financial Development and Financial Inclusion,https://www.edx.org/course/financial-development-and-financial-inclusion,"Learn how to develop an efficient, inclusive and stable financial sector that is essential for a thriving economy.",Intermediate,Paid,,"Financial Inclusion, Financial Development, Microfinance, Financial Literacy, Financial Regulation, Financial Stability, Banking, Insurance, Capital Markets, Economic Development, Poverty Alleviation, Sustainable Development",financial development and financial inclusion financial inclusion financial development microfinance financial literacy financial regulation financial stability banking insurance capital markets economic development poverty alleviation sustainable development intermediate
Global Public Health,https://www.edx.org/course/global-public-health,"Understanding the value of health not just as a benefit or right of individuals, but as a global public need.",Intermediate,Paid,,"Global Health, Public Health, International Health, Health Policy, Health Systems, Health Promotion, Health Education, Health Equity, Global Development, Global Health Security, Humanitarian Relief, Non-Communicable Diseases, Communicable Diseases, Maternal and Child Health, Nutrition, Water and Sanitation, Zoonoses, Planetary Health, Data for Health, Health Informatics, Global Health Governance, Health Financing, Human Rights and Health, Health and Development, Ethics in Global Health, Climate Change and Health, Conflict and Health, Gender and Health, Mental Health, Population Health, Surveillance and Epidemiology, Research Methods in Global Health",global public health global health public health international health health policy health systems health promotion health education health equity global development global health security humanitarian relief non-communicable diseases communicable diseases maternal and child health nutrition water and sanitation zoonoses planetary health data for health health informatics global health governance health financing human rights and health health and development ethics in global health climate change and health conflict and health gender and health mental health population health surveillance and epidemiology research methods in global health intermediate
Introduction to Animal Behaviour,https://www.edx.org/course/introduction-to-animal-behaviour,"Explore the amazing range and complexity of wild animal behaviour. Discover how animals learn, communicate, find food, avoid predators, and interact socially.",Beginner,Paid,,"Animal Behaviour, Ethology, Comparative Psychology, Behavioural Ecology, Neurobiology of Behaviour, Animal Communication, Animal Learning, Animal Cognition, Conservation Behaviour, Applied Animal Behaviour",introduction to animal behaviour animal behaviour ethology comparative psychology behavioural ecology neurobiology of behaviour animal communication animal learning animal cognition conservation behaviour applied animal behaviour beginner
Circular Economy: An Introduction,https://www.edx.org/course/circular-economy-an-introduction,Learn how to contribute to a sustainable economic system by implementing novel business and design approaches,Beginner,Paid,,Circular Economy Sustainability Waste Reduction Resource Management Environmental Economics Sustainable Development Life Cycle Assessment Sustainable Business Models Circular Supply Chains Product Design for Circularity Waste Management Recycling Upcycling Downcycling,circular economy an introduction circular economy sustainability waste reduction resource management environmental economics sustainable development life cycle assessment sustainable business models circular supply chains product design for circularity waste management recycling upcycling downcycling beginner
Public Financial Management,https://www.edx.org/course/public-financial-management,What is the government budget cycle? How should governments prepare policy-oriented budgets? How to hold governments accountable? Learn from an IMF team who advises on budget management and hear testimonies from ministers of finance and civil society.,Intermediate,Paid,,Public Finance Fiscal Policy Government Budgeting Taxation Public Debt Intergovernmental Fiscal Relations Financial Management Accounting Auditing Financial Reporting Performance Measurement Compliance Risk Management Public Procurement Public-Private Partnerships Fiscal Decentralization,public financial management public finance fiscal policy government budgeting taxation public debt intergovernmental fiscal relations financial management accounting auditing financial reporting performance measurement compliance risk management public procurement public-private partnerships fiscal decentralization intermediate
Anatomy: Human Neuroanatomy,https://www.edx.org/course/anatomy-human-neuroanatomy,Learn about the different parts of the central nervous system and how they work together with the entire body.,Beginner,Paid,,"Human Neuroanatomy Neuroscience Neurobiology Central Nervous System Peripheral Nervous SystemAnatomical Regions Brain Spinal Cord Cranial Nerves Peripheral Nerves Autonomic Nervous SystemOrgan Systems Nervous System Circulatory System Respiratory System Musculoskeletal System Neuroimaging (MRI, CT, EEG) Histology Dissection Animal Models Medicine Psychology Cognitive Science Physiology Behavioral Neuroscience Clinical Neuroanatomy Comparative Neuroanatomy Developmental Neuroanatomy Functional Neuroanatomy Gross Neuroanatomy Microscopic Neuroanatomy Neurophysiology Neuropharmacology Neuropsychology",anatomy human neuroanatomy human neuroanatomy neuroscience neurobiology central nervous system peripheral nervous systemanatomical regions brain spinal cord cranial nerves peripheral nerves autonomic nervous systemorgan systems nervous system circulatory system respiratory system musculoskeletal system neuroimaging (mri ct eeg) histology dissection animal models medicine psychology cognitive science physiology behavioral neuroscience clinical neuroanatomy comparative neuroanatomy developmental neuroanatomy functional neuroanatomy gross neuroanatomy microscopic neuroanatomy neurophysiology neuropharmacology neuropsychology beginner
The Ancient Greek Hero,https://www.edx.org/course/the-ancient-greek-hero-2,"Discover the literature and heroes of ancient Greece through the Homeric Iliad and Odyssey , the tragedies of Sophocles, the dialogues of Plato, and more.",Beginner,Paid,,MythologyAncient GreeceEpic PoetryClassical LiteratureHomerHesiodGreek TragedyGreek MythologyMythical CreaturesGreek HistoryClassical AntiquityCultural StudiesComparative MythologyGreek CultureGreek Civilization,the ancient greek hero mythologyancient greeceepic poetryclassical literaturehomerhesiodgreek tragedygreek mythologymythical creaturesgreek historyclassical antiquitycultural studiescomparative mythologygreek culturegreek civilization beginner
Agile Leadership Principles and Practices,https://www.edx.org/course/agile-leadership-principles-2,"Accelerate and improve team decisions by learning Agile’s facilitating leadership principles to unleash team productivity, motivation, and problem solving.",Advanced,Paid,,Agile Leadership  Agile Principles Agile Values Scrum Framework Kanban Framework Extreme Programming (XP) FrameworkAgile Leadership Practices Agile Planning Agile Estimation Agile Prioritization Agile Communication Agile Team ManagementAgile Leadership Mindset Continuous Improvement Customer Focus Collaboration and Teamwork Adaptability and FlexibilityAgile Leadership Skills Facilitation Communication Conflict Resolution Change Management Servant Leadership Project Management Software Development Business Analysis Leadership Development Team Building,agile leadership principles and practices agile leadership  agile principles agile values scrum framework kanban framework extreme programming (xp) frameworkagile leadership practices agile planning agile estimation agile prioritization agile communication agile team managementagile leadership mindset continuous improvement customer focus collaboration and teamwork adaptability and flexibilityagile leadership skills facilitation communication conflict resolution change management servant leadership project management software development business analysis leadership development team building advanced
How to Code: Simple Data,https://www.edx.org/course/how-to-code-simple-data,This course is part of a MicroMasters® Program,Beginner,Paid,,"Data Structures, Algorithms, Programming Fundamentals, Data Types, Variables, Conditionals, Loops, Arrays, Lists, Dictionaries, Data Manipulation, Data Analysis, Data Visualization",how to code simple data data structures algorithms programming fundamentals data types variables conditionals loops arrays lists dictionaries data manipulation data analysis data visualization beginner
Cybersecurity and Privacy in the IoT,https://www.edx.org/course/cybersecurity-and-privacy-in-the-iot,Learn about the security and privacy implications of the IoT and how to design a secure system.,Beginner,Paid,,Cybersecurity Cybersecurity Fundamentals Network Security Cloud Security IoT Security Data Privacy Penetration Testing Malware Analysis Threat Intelligence Risk ManagementPrivacy Data Privacy Laws Privacy Engineering Ethical Privacy Practices Privacy Best Practices Privacy in the Digital Age Data Protection GDPR ComplianceIoT (Internet of Things) IoT Security Architecture Device Security Secure IoT Protocols IoT Vulnerability Management IoT Data Privacy Smart Home Security Industrial IoT Security Healthcare IoT Security Information Security Information Assurance Cybersecurity Policy Cybersecurity Management Cybersecurity Compliance Cryptography Blockchain Artificial Intelligence in Cybersecurity,cybersecurity and privacy in the iot cybersecurity cybersecurity fundamentals network security cloud security iot security data privacy penetration testing malware analysis threat intelligence risk managementprivacy data privacy laws privacy engineering ethical privacy practices privacy best practices privacy in the digital age data protection gdpr complianceiot (internet of things) iot security architecture device security secure iot protocols iot vulnerability management iot data privacy smart home security industrial iot security healthcare iot security information security information assurance cybersecurity policy cybersecurity management cybersecurity compliance cryptography blockchain artificial intelligence in cybersecurity beginner
Strategic Management,https://www.edx.org/course/strategic-management,This course is part of a MicroMasters® Program,Beginner,Paid,,", Strategic Planning, Business Strategy, Competitive Advantage, Organizational Structure and Design, Performance MeasurementIndustry , Corporate Strategy, Entrepreneurship and Innovation, Marketing and Sales Management, Operations Management, Financial ManagementAnalytical , Porter's Five Forces Analysis, SWOT Analysis, Value Chain Analysis, PEST Analysis, Scenario PlanningLeadership and Decision-Making, Strategic Leadership, Visioning and Mission Setting, Risk Management, Decision Theories, Crisis ManagementOrganizational Behavior and Culture, Organizational Change, Culture and Values, Human Capital Management, Team Building, Innovation and CreativityEthics and Sustainability, Corporate Social Responsibility, Stakeholder Management, Environmental Sustainability, Governance and Compliance, Social Impact and Technologies, Digital Transformation, Agile , Big Data and Analytics, Artificial Intelligence, Blockchain Technology",strategic management  strategic planning business strategy competitive advantage organizational structure and design performance measurementindustry  corporate strategy entrepreneurship and innovation marketing and sales management operations management financial managementanalytical  porter's five forces analysis swot analysis value chain analysis pest analysis scenario planningleadership and decision-making strategic leadership visioning and mission setting risk management decision theories crisis managementorganizational behavior and culture organizational change culture and values human capital management team building innovation and creativityethics and sustainability corporate social responsibility stakeholder management environmental sustainability governance and compliance social impact and technologies digital transformation agile  big data and analytics artificial intelligence blockchain technology beginner
"Biochemistry: Biomolecules, Methods, and Mechanisms",https://www.edx.org/course/biochemistry-biomolecules-methods-and-mechanisms,Enhance your scientific thinking and data analysis skills with this in-depth adventure through biochemistry.,Intermediate,Paid,,"Biochemistry, Biomolecules, Biological Methods, Biochemical Mechanisms, Molecular Biology, Cell Biology, Metabolism, Enzyme Catalysis, Nucleic Acids, Proteins, Lipids, Carbohydrates",biochemistry biomolecules methods and mechanisms biochemistry biomolecules biological methods biochemical mechanisms molecular biology cell biology metabolism enzyme catalysis nucleic acids proteins lipids carbohydrates intermediate
